r,phi[0],phi[1],
0,7.57904,52.0189,
0.700341,7.89446,51.9598,
1.40068,7.9236,51.8564,
2.10102,7.90824,51.6899,
2.80136,7.88984,51.4578,
3.50171,7.86601,51.1612,
4.20205,7.83709,50.8017,
4.90239,7.80316,50.3808,
5.60273,7.76434,49.9007,
6.30307,7.72077,49.3635,
7.00341,7.67261,48.7716,
7.70375,7.62002,48.1278,
8.40409,7.56319,47.4348,
9.10443,7.50229,46.6958,
9.80477,7.43755,45.9138,
10.5051,7.36916,45.0922,
11.2055,7.29734,44.2342,
11.9058,7.22233,43.3433,
12.6061,7.14435,42.4229,
13.3065,7.06363,41.4765,
14.0068,6.98041,40.5075,
14.7072,6.89494,39.5192,
15.4075,6.80743,38.5151,
16.1078,6.71814,37.4984,
16.8082,6.62729,36.4723,
17.5085,6.53511,35.4399,
18.2089,6.44183,34.404,
18.9092,6.34766,33.3675,
19.6095,6.25283,32.3332,
20.3099,6.15753,31.3034,
21.0102,6.06197,30.2805,
21.7106,5.96633,29.2669,
22.4109,5.87081,28.2644,
23.1113,5.77558,27.2749,
23.8116,5.6808,26.3002,
24.5119,5.58662,25.3419,
25.2123,5.4932,24.4012,
25.9126,5.40068,23.4793,
26.613,5.30918,22.5775,
27.3133,5.21881,21.6965,
28.0136,5.1297,20.8372,
28.714,5.04193,20.0002,
29.4143,4.95561,19.186,
30.1147,4.87081,18.395,
30.815,4.7876,17.6276,
31.5153,4.70605,16.8837,
32.2157,4.62622,16.1637,
32.916,4.54816,15.4673,
33.6164,4.4719,14.7946,
34.3167,4.39749,14.1454,
35.0171,4.32494,13.5195,
35.7174,4.25428,12.9164,
36.4177,4.18553,12.336,
37.1181,4.11869,11.7778,
37.8184,4.05377,11.2413,
38.5188,3.99077,10.7261,
39.2191,3.92967,10.2318,
39.9194,3.87047,9.75767,
40.6198,3.81316,9.30329,
41.3201,3.75771,8.86806,
42.0205,3.7041,8.45142,
42.7208,3.65231,8.05279,
43.4211,3.60231,7.67157,
44.1215,3.55408,7.30718,
44.8218,3.50757,6.95903,
45.5222,3.46275,6.62654,
46.2225,3.41959,6.30913,
46.9229,3.37805,6.00623,
47.6232,3.33809,5.71727,
48.3235,3.29968,5.4417,
49.0239,3.26276,5.17899,
49.7242,3.2273,4.92859,
50.4246,3.19326,4.69001,
51.1249,3.1606,4.46273,
51.8252,3.12927,4.24626,
52.5256,3.09923,4.04015,
53.2259,3.07045,3.84392,
53.9263,3.04287,3.65714,
54.6266,3.01646,3.47938,
55.3269,2.99118,3.31023,
56.0273,2.96698,3.1493,
56.7276,2.94383,2.9962,
57.428,2.92169,2.85056,
58.1283,2.90052,2.71204,
58.8286,2.88029,2.5803,
59.529,2.86095,2.45502,
60.2293,2.84248,2.33588,
60.9297,2.82483,2.2226,
61.63,2.80798,2.11488,
62.3304,2.79188,2.01246,
63.0307,2.77652,1.91508,
63.731,2.76186,1.8225,
64.4314,2.74787,1.73447,
65.1317,2.73452,1.65078,
65.8321,2.72178,1.57121,
66.5324,2.70963,1.49555,
67.2327,2.69804,1.42362,
67.9331,2.68699,1.35523,
68.6334,2.67645,1.2902,
69.3338,2.66641,1.22836,
70.0341,2.65683,1.16956,
70.7344,2.64769,1.11365,
71.4348,2.63899,1.06048,
72.1351,2.63069,1.00991,
72.8355,2.62277,0.961812,
73.5358,2.61523,0.916068,
74.2362,2.60805,0.872558,
74.9365,2.6012,0.831169,
75.6368,2.59467,0.791796,
76.3372,2.58845,0.754339,
77.0375,2.58252,0.7187,
77.7379,2.57686,0.684791,
78.4382,2.57148,0.652524,
79.1385,2.56635,0.621818,
79.8389,2.56145,0.592595,
80.5392,2.55679,0.564782,
81.2396,2.55235,0.538307,
81.9399,2.54811,0.513105,
82.6402,2.54407,0.489112,
83.3406,2.54023,0.466269,
84.0409,2.53656,0.444518,
84.7413,2.53306,0.423806,
85.4416,2.52973,0.404081,
86.142,2.52655,0.385294,
86.8423,2.52352,0.3674,
87.5426,2.52063,0.350354,
88.243,2.51788,0.334114,
88.9433,2.51525,0.31864,
89.6437,2.51275,0.303897,
90.344,2.51036,0.289846,
91.0443,2.50809,0.276455,
91.7447,2.50591,0.263691,
92.445,2.50384,0.251524,
93.1454,2.50187,0.239925,
93.8457,2.49998,0.228865,
94.546,2.49818,0.21832,
95.2464,2.49646,0.208262,
95.9467,2.49483,0.19867,
96.6471,2.49326,0.18952,
97.3474,2.49177,0.180792,
98.0477,2.49035,0.172464,
98.7481,2.48899,0.164517,
99.4484,2.48769,0.156934,
100.149,2.48645,0.149695,
100.849,2.48527,0.142786,
101.549,2.48414,0.13619,
102.25,2.48306,0.129891,
102.95,2.48203,0.123876,
103.65,2.48104,0.118132,
104.351,2.4801,0.112644,
105.051,2.4792,0.107401,
105.752,2.47834,0.102392,
106.452,2.47752,0.0976037,
107.152,2.47674,0.0930271,
107.853,2.47599,0.0886517,
108.553,2.47527,0.0844679,
109.253,2.47458,0.0804664,
109.954,2.47392,0.0766386,
